id,PrimaryName,SecondaryName,Date,Count,PlaceName,Latitude,Longitude,Notes,Family,FamilyName
55,haapana,(Eurasian) Wigeon,25 May 2017 19.04,,,60.1527111726798,24.8905496761128,,sorsat,Sorsat
56,Tukkakoskelo,Red-breasted Merganser,25 May 2017 18.05,,,60.156050324448,24.7698026126295,,sorsat,Sorsat
57,fasaani,(Common) Pheasant,25 May 2017 17.36,,,60.1498286286617,24.7297096778006,,kanalinnut,Kanalinnut
58,satakieli,Thrush Nightingale,25 May 2017 17.27,,,60.1529216134847,24.7143905588031,,yolaulajat,Yölaulajat
59,lehtokerttu,Garden Warbler,25 May 2017 17.13,,,60.1523878066912,24.7223301933764,Ei 100% varma,kertut,Kertut
60,haarapääsky,Barn Swallow,25 May 2017 16.57,,,60.1522532063725,24.723468995065,,paaskyt,Pääskyt
61,nokikana,(Eurasian) Coot,25 May 2017 16.29,Pariskunta(?) ja 5 poikasta,,60.1521139547231,24.7215517699307,Nokikana poikasineen,sorsat,Sorsat
62,mustakurkku-uikku,Slavonian Grebe,25 May 2017 16.20,,,60.1523694463477,24.719887668383,,uikut-kuikat,Uikut ja kuikat
63,nokikana,(Eurasian) Coot,25 May 2017 16.14,,,60.151322282257,24.7191675994243,,sorsat,Sorsat
64,naurulokki,Black-headed Gull,25 May 2017 16.09,,,60.1513921079231,24.7183631092992,Pesiä,lokit,Lokit
65,Punatavi,Cinnamon Teal,25 May 2017 16.06,,,60.1515702490637,24.718421448317,,sorsat,Sorsat
66,punasotka,(Common) Pochard,25 May 2017 16.00,,,60.151261299668,24.7184100714248,,sorsat,Sorsat
67,harmaasorsa,Gadwall,25 May 2017 15.49,,,60.1508843882228,24.7171539273866,,sorsat,Sorsat
68,tukkasotka,Tufted Duck,25 May 2017 15.46,2,,60.1508126456831,24.7165246334503,Pariskunta,sorsat,Sorsat
69,lapasorsa,(Northern) Shoveler,25 May 2017 15.44,,,60.1509143787122,24.7155069466729,,sorsat,Sorsat
70,liejukana,(Common) Moorhen,25 May 2017 15.42,,,60.1513172711489,24.7147950995862,,sorsat,Sorsat
71,satakieli,Thrush Nightingale,25 May 2017 15.09,,,60.1616108048092,24.7487838288134,,yolaulajat,Yölaulajat
72,silkkiuikku,Great Crested Grebe,25 May 2017 14.20,,,60.1627932997748,24.8547027355662,Ainakin kolme pesää,uikut-kuikat,Uikut ja kuikat
73,telkkä,(Common) Goldeneye,20 May 2017 18.56,,,60.1721376182677,25.013780809901,Telkkä poikineen,sorsat,Sorsat
74,silkkiuikku,Great Crested Grebe,20 May 2017 17.44,,,60.1614107847602,25.0783493933627,Ainakin 6 silkkiuikun pesää,uikut-kuikat,Uikut ja kuikat
75,pensaskerttu,(Common) Whitethroat,20 May 2017 17.18,,,60.1637061361631,25.0820745608624,,kertut,Kertut
76,mustapääkerttu,Blackcap,20 May 2017 17.10,,,60.1636931817835,25.0819755062136,Nuori punahattuinen yksilö,kertut,Kertut
77,käpytikka,Great Spotted Woodpecker,20 May 2017 16.53,,,60.1636897198362,25.0818333803598,,tikat,Tikat
78,mustarastas,(Common) Blackbird,20 May 2017 16.00,,,60.1688668805917,25.0562775756345,Helvetisti mustarastaita,rastaat,Rastaat ym.
79,kanadanhanhi,Canada Goose,20 May 2017 16.10,,,60.1662690924562,25.0575684655603,Pari ja 3-4 poikasta,joutsenet-hanhet,Joutsenet ja hanhet
80,silkkiuikku,Great Crested Grebe,20 May 2017 14.58,,,60.1960165361972,25.0212886781052,Pesä,uikut-kuikat,Uikut ja kuikat
81,haapana,(Eurasian) Wigeon,20 May 2017 14.44,,,60.1987886963322,25.0242168972793,,sorsat,Sorsat
82,harmaahaikara,Grey Heron,20 May 2017 14.40,,,60.1993527721276,25.0241162303203,,kurki-haikarat,Kurki ja haikarat
83,laulurastas,Song Thrush,20 May 2017 14.21,,,60.2178613148255,25.0277352285079,,rastaat,Rastaat ym.
84,keltasirkku,Yellowhammer,20 May 2017 14.12,,,60.2200460966703,25.0270692500737,,sirkut,Sirkut
85,töyhtöhyyppä,(Northern) Lapwing,20 May 2017 14.06,,,60.2199985823983,25.0212231336893,Poikanen jo yhdellä,kahlaajat,Kahlaajat
86,haarapääsky,Barn Swallow,20 May 2017 13.57,,,60.2202222972655,25.0218805572913,,paaskyt,Pääskyt
87,kiuru,(Common) Skylark,20 May 2017 13.56,,,60.2202789710479,25.0217526858185,,varpuset-kiurut-kirviset,"Varpuset, kiurut ja kirviset"
88,kirjosieppo,Pied Flycatcher,20 May 2017 13.38,1,,60.2196539198586,25.0048439767352,,tiaiset,Tiaiset ym.
89,kivitasku,(Northern) Wheatear,20 May 2017 12.43,,,60.1854994193787,24.9707680145255,Än,vastarakit-taskut-lepinkaiset,"Västäräkit, taskut ja lepinkäiset"
90,satakieli,Thrush Nightingale,20 May 2017 10.22,1,,60.1612982006513,24.9521188725172,,yolaulajat,Yölaulajat
91,punarinta,(European) Robin,19 May 2017 8.09,,,60.1620366494297,24.9552320519848,,peipot,Peipot
92,pajulintu,Willow Warbler,19 May 2017 7.51,,,60.1623414327945,24.9501756561139,,kertut,Kertut
93,sinirinta,Bluethroat,17 May 2017 8.01,,,60.1624522444372,24.9506835023682,,peipot,Peipot
94,tikli,(European) Goldfinch,17 May 2017 7.31,,,60.1618946061066,24.9504785771665,,peipot,Peipot
95,punakylkirastas,Redwing,16 May 2017 21.11,,1,60.1622144997284,24.9522402716495,,rastaat,Rastaat ym.
96,kirjosieppo,Pied Flycatcher,15 May 2017 20.39,,,60.1625880098128,24.9524597163557,,tiaiset,Tiaiset ym.
97,räkättirastas,Fieldfare,14 May 2017 18.22,,,60.1605141399567,24.9532893687266,Pesä,rastaat,Rastaat ym.
98,pajulintu,Willow Warbler,14 May 2017 18.16,,,60.1570831399385,24.9546321346966,,kertut,Kertut
99,leppälintu,(Common) Redstart,14 May 2017 18.01,,,60.155191791524,24.9536275895814,,peipot,Peipot
100,sinirinta,Bluethroat,14 May 2017 17.37,1,,60.1614592666644,24.951243050164,1st winter? Ei sinistä rinnassa,peipot,Peipot
101,pajulintu,Willow Warbler,14 May 2017 6.36,,,60.1621846286767,24.9522556288252,,kertut,Kertut
102,hernekerttu,Lesser Whitethroat,13 May 2017 12.28,,,60.1623491122256,24.9551982038283,Melko varma että oli hernekerttu,kertut,Kertut
103,kivitasku,(Northern) Wheatear,13 May 2017 12.05,,,60.1620160192605,24.9530216394236,,vastarakit-taskut-lepinkaiset,"Västäräkit, taskut ja lepinkäiset"
104,leppälintu,(Common) Redstart,13 May 2017 11.57,,,60.1614634625654,24.9530164407935,,peipot,Peipot
105,suokukko,Ruff,7 May 2017 20.18,,,60.2082020781022,25.0023220424967,,kahlaajat,Kahlaajat
106,harmaasorsa,Gadwall,7 May 2017 16.14,2,,60.2083977585054,25.0034305433179,,sorsat,Sorsat
107,pikkutylli,Little Ringed Plover,7 May 2017 16.11,,,60.2086292026592,25.0028051293525,,kahlaajat,Kahlaajat
108,liro,Wood Sandpiper,7 May 2017 16.08,,,60.2084830623792,25.0024791546256,,kahlaajat,Kahlaajat
109,rantasipi,Common Sandpiper,7 May 2017 16.01,,,60.2081710642582,25.002250424714,,kahlaajat,Kahlaajat
110,valkoviklo,(Common) Greenshank,7 May 2017 15.59,,,60.2081547350076,25.0037253024556,,kahlaajat,Kahlaajat
111,punajalkaviklo,(Common) Redshank,7 May 2017 15.55,,,60.2083537772682,25.0024287091133,,kahlaajat,Kahlaajat
112,taivaanvuohi,(Common) Snipe,7 May 2017 15.54,,,60.2077538850215,25.002952158113,,kahlaajat,Kahlaajat
113,haarapääsky,Barn Swallow,7 May 2017 15.23,,,60.2136570136596,24.9950847230092,,paaskyt,Pääskyt
114,töyhtöhyyppä,(Northern) Lapwing,7 May 2017 15.16,,,60.2140783732476,24.9965337835045,,kahlaajat,Kahlaajat
